"Network","UnitCode","SiteCode","StartDate","Year","QAQC","PlotName","CommunityType","ScientificName","CommonName","SpeciesCode","Damage","No.Damage","Subsampled"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"B2","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,1,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"B2","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,10,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"B2","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",2,20,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B2","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,2,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B2","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,61,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B2","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,2,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"B2","Barnacle","Littorina littorea","Common periwinkle","LITLIT",1,56,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"B2","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",1,47,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"B2","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,3,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B2","Barnacle","Littorina littorea","Common periwinkle","LITLIT",4,52,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B2","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",6,25,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B2","Barnacle","Littorina littorea","Common periwinkle","LITLIT",1,41,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B2","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",1,43,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B2","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,4,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B2","Barnacle","Carcinus maenas","Green crab","CARMAE",0,1,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B2","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,54,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B2","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,91,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B2","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,4,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B2","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,20,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B2","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,24,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B2","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B2","Barnacle","Carcinus maenas","Green crab","CARMAE",0,1,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B2","Barnacle","Littorina littorea","Common periwinkle","LITLIT",1,23,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B2","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,10,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B2","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,2,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B2","Barnacle","Carcinus maenas","Green crab","CARMAE",0,1,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B2","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,25,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B2","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,13,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B2","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B2","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,2,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"B3","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",1,4,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"B3","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,1,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"B3","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,10,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B3","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,3,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B3","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,20,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B3","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,11,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"B3","Barnacle","Littorina littorea","Common periwinkle","LITLIT",1,57,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"B3","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,21,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B3","Barnacle","Littorina littorea","Common periwinkle","LITLIT",2,51,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B3","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",4,23,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B3","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B3","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,17,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B3","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,39,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B3","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,6,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B3","Barnacle","Carcinus maenas","Green crab","CARMAE",0,9,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B3","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,9,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B3","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,11,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B3","Barnacle","Littorina littorea","Common periwinkle","LITLIT",1,31,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B3","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,45,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B3","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,4,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B3","Barnacle","Littorina littorea","Common periwinkle","LITLIT",1,23,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B3","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,8,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B3","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B3","Barnacle","Carcinus maenas","Green crab","CARMAE",0,2,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B3","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,25,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B3","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,5,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B3","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"B4","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,1,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"B4","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"B4","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,1,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"B4","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",2,0,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"B4","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,1,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"B4","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",2,19,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"B4","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,2,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B4","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,4,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B4","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,21,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B4","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",1,4,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B4","Barnacle","Testudinalia testudinalis","Limpet","TECTES",0,1,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"B4","Barnacle","Littorina littorea","Common periwinkle","LITLIT",1,25,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"B4","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",1,26,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"B4","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B4","Barnacle","Littorina littorea","Common periwinkle","LITLIT",1,28,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B4","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",2,29,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B4","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B4","Barnacle","Littorina littorea","Common periwinkle","LITLIT",3,19,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B4","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,56,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B4","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B4","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B4","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,18,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B4","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,28,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B4","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B4","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,2,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B4","Barnacle","Littorina littorea","Common periwinkle","LITLIT",1,29,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B4","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,72,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B4","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,2,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B4","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,11,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B4","Barnacle","Carcinus maenas","Green crab","CARMAE",0,1,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B4","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,8,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B4","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,5,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B4","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,4,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"B5","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",1,10,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B5","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,1,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"B5","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,26,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"B5","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,5,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B5","Barnacle","Littorina littorea","Common periwinkle","LITLIT",1,10,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"B5","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",2,20,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B5","Barnacle","Littorina littorea","Common periwinkle","LITLIT",2,14,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B5","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,9,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"B5","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B5","Barnacle","Carcinus maenas","Green crab","CARMAE",0,1,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B5","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,7,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B5","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",1,13,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B5","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B5","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"B5","Barnacle","Testudinalia testudinalis","Limpet","TECTES",1,0,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B5","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,47,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B5","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,107,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"B5","Barnacle","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B5","Barnacle","Carcinus maenas","Green crab","CARMAE",0,1,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B5","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,21,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B5","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,6,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"B5","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,3,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B5","Barnacle","Littorina littorea","Common periwinkle","LITLIT",0,17,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B5","Barnacle","Littorina obtusata","Smooth periwinkle","LITOBT",0,17,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"B5","Barnacle","Nucella lapillus","Dogwhelk","NUCLAP",0,7,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"F1","Fucus","Littorina littorea","Common periwinkle","LITLIT",2,30,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"F1","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",1,40,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"F1","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,11,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"F1","Fucus","Littorina littorea","Common periwinkle","LITLIT",2,18,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"F1","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",0,31,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"F1","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,5,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"F1","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,4,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"F1","Fucus","Littorina littorea","Common periwinkle","LITLIT",0,43,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"F1","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",0,58,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"F1","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,12,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"F1","Fucus","Littorina littorea","Common periwinkle","LITLIT",0,10,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"F1","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",3,31,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"F1","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"F1","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,31,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"F1","Fucus","Littorina littorea","Common periwinkle","LITLIT",0,84,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"F1","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",0,74,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"F1","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,2,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"F1","Fucus","Littorina littorea","Common periwinkle","LITLIT",0,96,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"F1","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",0,19,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"F1","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,9,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"F1","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,2,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"F1","Fucus","Littorina littorea","Common periwinkle","LITLIT",4,66,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"F1","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",0,18,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"F1","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"F1","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,1,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"F1","Fucus","Carcinus maenas","Green crab","CARMAE",0,1,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"F1","Fucus","Littorina littorea","Common periwinkle","LITLIT",0,116,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"F1","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",0,38,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"F1","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,6,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"F1","Fucus","Carcinus maenas","Green crab","CARMAE",0,3,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"F1","Fucus","Littorina littorea","Common periwinkle","LITLIT",2,131,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"F1","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",1,90,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"F1","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,6,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"F1","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,1,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"F1","Fucus","Carcinus maenas","Green crab","CARMAE",0,3,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"F1","Fucus","Littorina littorea","Common periwinkle","LITLIT",0,234,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"F1","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",0,46,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"F1","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",1,2,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"F1","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,2,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"F1","Fucus","Carcinus maenas","Green crab","CARMAE",0,4,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"F1","Fucus","Littorina littorea","Common periwinkle","LITLIT",11,188,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"F1","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",3,24,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"F1","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,5,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"F1","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,2,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"F1","Fucus","Carcinus maenas","Green crab","CARMAE",0,1,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"F1","Fucus","Littorina littorea","Common periwinkle","LITLIT",1,116,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"F1","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",1,18,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"F1","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,2,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"F2","Fucus","Littorina littorea","Common periwinkle","LITLIT",0,5,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"F2","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",1,80,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"F2","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,6,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"F2","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,3,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"F2","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",0,16,"Yes"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"F2","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"Yes"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"F2","Fucus","Littorina littorea","Common periwinkle","LITLIT",0,10,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"F2","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",0,47,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"F2","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"F2","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,4,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"F2","Fucus","Littorina littorea","Common periwinkle","LITLIT",1,29,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"F2","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",2,26,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"F2","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",1,1,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"F2","Fucus","Littorina littorea","Common periwinkle","LITLIT",1,42,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"F2","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",2,103,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"F2","Fucus","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"F2","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,6,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"F2","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,1,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"F2","Fucus","Littorina littorea","Common periwinkle","LITLIT",0,71,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"F2","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",0,35,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"F2","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,4,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"F2","Fucus","Littorina littorea","Common periwinkle","LITLIT",1,100,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"F2","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",1,29,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"F2","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"F2","Fucus","Testudinalia testudinalis","Limpet","TECTES",0,1,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"F2","Fucus","Littorina littorea","Common periwinkle","LITLIT",1,85,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"F2","Fucus","Littorina obtusata","Smooth periwinkle","LITOBT",0,34,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"F2","Fucus","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"F2","Fucus","Carcinus maenas","Green crab","CARMAE",0,5,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"F2","Fucus","Littorina littorea","Common periwinkle","LITLIT",0,90,"No"
